System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"C05A2024"
Last test date,,"Friday, February 11, 2022"
Last test time,,"9:21:00 AM"
Course,,"C"
Lab Section Number,,"05"
Group,,"A"
Material,,"2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.22"
Grip Diameter,(mm),"12.79"
Rockwell Hardness,,"75.0"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.79"
Fracture Notes and Location,,"ductile failure
orange peel effect near fracture
jagged fracture surface occurs due to precipitates in microstructure"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"18.99"
Maximum Strain,(%),"24.81"
"45.00","3.00","15.74","0.02536"
"45.50","3.03","15.79","0.02598"
"46.00","3.06","15.83","0.02673"
"46.50","3.10","15.86","0.02737"
"47.00","3.13","15.91","0.02804"
"47.50","3.16","15.95","0.02871"
"48.00","3.20","15.99","0.02945"
"48.50","3.23","16.03","0.03022"
"49.00","3.26","16.07","0.03086"
"49.50","3.30","16.11","0.03152"
"50.00","3.33","16.15","0.03219"
"50.50","3.36","16.19","0.03293"
"51.00","3.40","16.23","0.03358"
"51.50","3.43","16.26","0.03417"
"52.00","3.46","16.30","0.03479"
"52.50","3.50","16.34","0.03540"
"53.00","3.53","16.37","0.03614"
"53.50","3.56","16.42","0.03675"
"54.00","3.60","16.45","0.03738"
"54.50","3.63","16.49","0.03802"
"55.00","3.66","16.52","0.03881"
"55.50","3.70","16.56","0.03947"
"56.00","3.73","16.60","0.04013"
"56.50","3.76","16.63","0.04087"
"57.00","3.80","16.66","0.04166"
"57.50","3.83","16.70","0.04239"
"58.00","3.86","16.73","0.04303"
"58.50","3.90","16.76","0.04375"
"59.00","3.93","16.80","0.04457"
"59.50","3.96","16.83","0.04519"
"60.00","4.00","16.86","0.04583"
"60.50","4.03","16.90","0.04653"
"61.00","4.06","16.92","0.04719"
"61.50","4.10","16.95","0.04784"
"62.00","4.13","16.99","0.04849"
"62.50","4.16","17.02","0.04913"
"63.00","4.20","17.05","0.04977"
"63.50","4.23","17.08","0.05049"
"64.00","4.26","17.11","0.05111"
"64.50","4.30","17.14","0.05176"
"65.00","4.33","17.17","0.05236"
"65.50","4.36","17.20","0.05312"
"66.00","4.40","17.22","0.05380"
"66.50","4.43","17.25","0.05451"
"67.00","4.46","17.27","0.05520"
"67.50","4.50","17.30","0.05600"
"68.00","4.53","17.33","0.05677"
"68.50","4.56","17.35","0.05754"
"69.00","4.60","17.38","0.05830"
"69.50","4.63","17.41","0.05910"
"70.00","4.66","17.44","0.05991"
"70.50","4.70","17.47","0.06065"
"71.00","4.73","17.49","0.06137"
"71.50","4.76","17.52","0.06222"
"72.00","4.80","17.54","0.06295"
"72.50","4.83","17.56","0.06358"
"73.00","4.86","17.58","0.06438"
"73.50","4.90","17.60","0.06501"
"74.00","4.93","17.63","0.06567"
"74.50","4.96","17.65","0.06632"
"75.00","5.00","17.67","0.06705"
"75.50","5.03","17.69","0.06767"
"76.00","5.06","17.72","0.06827"
"76.50","5.10","17.75","0.06883"
"77.00","5.13","17.77","0.06959"
"77.50","5.16","17.79","0.07012"
"78.00","5.20","17.81","0.07071"
"78.50","5.23","17.83","0.07129"
"79.00","5.26","17.86","0.07202"
"79.50","5.30","17.88","0.07269"
"80.00","5.33","17.89","0.07335"
"80.50","5.36","17.91","0.07403"
"81.00","5.40","17.93","0.07488"
"81.50","5.43","17.95","0.07564"
"82.00","5.46","17.96","0.07643"
"82.50","5.50","17.97","0.07732"
"83.00","5.53","17.98","0.07828"
"83.50","5.56","18.01","0.07918"
"84.00","5.60","18.03","0.08008"
"84.50","5.63","18.05","0.08102"
"85.00","5.66","18.08","0.08190"
"85.50","5.70","18.10","0.08282"
"86.00","5.73","18.13","0.08379"
"86.50","5.76","18.14","0.08470"
"87.00","5.80","18.16","0.08556"
"87.50","5.83","18.17","0.08644"
"88.00","5.86","18.19","0.08730"
"88.50","5.90","18.20","0.08819"
"89.00","5.93","18.20","0.08913"
"89.50","5.96","18.21","0.08996"
"90.00","6.00","18.22","0.09074"
"90.50","6.03","18.24","0.09145"
"91.00","6.06","18.25","0.09220"
"91.50","6.10","18.26","0.09277"
"92.00","6.13","18.28","0.09327"
"92.50","6.16","18.31","0.09372"
"93.00","6.20","18.32","0.09415"
"93.50","6.23","18.35","0.09466"
"94.00","6.26","18.37","0.09504"
"94.50","6.30","18.38","0.09538"
"95.00","6.33","18.40","0.09583"
"95.50","6.36","18.40","0.09617"
"96.00","6.40","18.39","0.09669"
"96.50","6.43","18.38","0.09711"
"97.00","6.46","18.41","0.09756"
"97.50","6.50","18.43","0.09805"
"98.00","6.53","18.45","0.09853"
"98.50","6.56","18.47","0.09911"
"99.00","6.60","18.49","0.09974"
"99.50","6.63","18.50","0.1004"
"100.00","6.66","18.50","0.1013"
"100.50","6.70","18.51","0.1023"
"101.00","6.73","18.51","0.1032"
"101.50","6.76","18.51","0.1042"
"102.00","6.80","18.52","0.1052"
"102.50","6.83","18.52","0.1063"
"103.00","6.86","18.53","0.1074"
"103.50","6.90","18.54","0.1085"
"104.00","6.93","18.54","0.1097"
"104.50","6.96","18.56","0.1108"
"105.00","7.00","18.56","0.1119"
"105.50","7.03","18.58","0.1130"
"106.00","7.06","18.59","0.1142"
"106.50","7.10","18.60","0.1154"
"107.00","7.13","18.61","0.1166"
"107.50","7.16","18.62","0.1177"
"108.00","7.20","18.64","0.1188"
"108.50","7.23","18.65","0.1199"
"109.00","7.26","18.66","0.1211"
"109.50","7.30","18.67","0.1222"
"110.00","7.33","18.68","0.1232"
"110.50","7.36","18.69","0.1242"
"111.00","7.40","18.70","0.1251"
"111.50","7.43","18.71","0.1259"
"112.00","7.46","18.72","0.1265"
"112.50","7.50","18.73","0.1271"
"113.00","7.53","18.74","0.1276"
"113.50","7.56","18.75","0.1280"
"114.00","7.60","18.76","0.1284"
"114.50","7.63","18.78","0.1287"
"115.00","7.66","18.80","0.1290"
"115.50","7.70","18.82","0.1294"
"116.00","7.73","18.84","0.1297"
"116.50","7.76","18.87","0.1300"
"117.00","7.80","18.90","0.1303"
"117.50","7.83","18.94","0.1306"
"118.00","7.86","18.96","0.1309"
"118.50","7.90","18.96","0.1313"
"119.00","7.93","18.97","0.1318"
"119.50","7.96","18.96","0.1323"
"120.00","8.00","18.96","0.1329"
"120.50","8.03","18.95","0.1335"
"121.00","8.06","18.95","0.1342"
"121.50","8.10","18.93","0.1348"
"122.00","8.13","18.90","0.1356"
"122.50","8.16","18.83","0.1362"
"123.00","8.20","18.80","0.1367"
"123.50","8.23","18.81","0.1372"
"124.00","8.26","18.81","0.1378"
"124.50","8.30","18.83","0.1383"
"125.00","8.33","18.84","0.1390"
"125.50","8.36","18.85","0.1397"
"126.00","8.40","18.86","0.1404"
"126.50","8.43","18.86","0.1411"
"127.00","8.46","18.86","0.1419"
"127.50","8.50","18.87","0.1427"
"128.00","8.53","18.87","0.1437"
"128.50","8.56","18.87","0.1446"
"129.00","8.60","18.88","0.1456"
"129.50","8.63","18.88","0.1466"
"130.00","8.66","18.88","0.1477"
"130.50","8.70","18.88","0.1489"
"131.00","8.73","18.89","0.1500"
"131.50","8.76","18.89","0.1511"
"132.00","8.80","18.89","0.1522"
"132.50","8.83","18.90","0.1534"
"133.00","8.86","18.90","0.1545"
"133.50","8.90","18.91","0.1557"
"134.00","8.93","18.91","0.1568"
"134.50","8.96","18.92","0.1580"
"135.00","9.00","18.92","0.1592"
"135.50","9.03","18.92","0.1603"
"136.00","9.06","18.92","0.1615"
"136.50","9.10","18.92","0.1628"
"137.00","9.13","18.92","0.1639"
"137.50","9.16","18.92","0.1652"
"138.00","9.20","18.93","0.1665"
"138.50","9.23","18.93","0.1677"
"139.00","9.26","18.93","0.1689"
"139.50","9.30","18.94","0.1701"
"140.00","9.33","18.95","0.1713"
"140.50","9.36","18.95","0.1725"
"141.00","9.40","18.95","0.1737"
"141.50","9.43","18.96","0.1749"
"142.00","9.46","18.97","0.1761"
"142.50","9.50","18.97","0.1774"
"143.00","9.53","18.97","0.1786"
"143.50","9.56","18.98","0.1798"
"144.00","9.60","18.98","0.1810"
"144.50","9.63","18.99","0.1823"
"145.00","9.66","18.99","0.1835"
"145.50","9.70","18.99","0.1847"
"146.00","9.73","18.99","0.1859"
"146.50","9.76","18.99","0.1871"
"147.00","9.80","18.99","0.1883"
"147.50","9.83","18.98","0.1895"
"148.00","9.86","18.98","0.1907"
"148.50","9.90","18.97","0.1918"
"149.00","9.93","18.97","0.1931"
"149.50","9.96","18.96","0.1943"
"150.00","10.00","18.95","0.1956"
"150.50","10.03","18.95","0.1968"
"151.00","10.06","18.93","0.1980"
"151.50","10.10","18.93","0.1993"
"152.00","10.13","18.91","0.2006"
"152.50","10.16","18.90","0.2017"
"153.00","10.20","18.89","0.2030"
"153.50","10.23","18.87","0.2043"
"154.00","10.26","18.86","0.2055"
"154.50","10.30","18.84","0.2068"
"155.00","10.33","18.82","0.2081"
"155.50","10.36","18.80","0.2095"
"156.00","10.40","18.78","0.2107"
"156.50","10.43","18.76","0.2120"
"157.00","10.46","18.73","0.2132"
"157.50","10.50","18.70","0.2146"
"158.00","10.53","18.67","0.2159"
"158.50","10.56","18.64","0.2172"
"159.00","10.60","18.62","0.2185"
"159.50","10.63","18.57","0.2198"
"160.00","10.66","18.54","0.2212"
"160.50","10.70","18.50","0.2225"
"161.00","10.73","18.46","0.2238"
"161.50","10.76","18.42","0.2251"
"162.00","10.80","18.37","0.2265"
"162.50","10.83","18.32","0.2279"
"163.00","10.86","18.27","0.2292"
"163.50","10.90","18.21","0.2306"
"164.00","10.93","18.16","0.2319"
"164.50","10.96","18.10","0.2332"
"165.00","11.00","18.04","0.2347"
"165.50","11.03","17.97","0.2361"
"166.00","11.06","17.90","0.2374"
"166.50","11.10","17.83","0.2388"
"167.00","11.13","17.75","0.2402"
"167.50","11.16","17.67","0.2417"
"168.00","11.20","17.57","0.2431"
"168.26","11.21","7.514","0.2481"

